Exchange ID,Base,Target,Coin_Id,Target_Coin_ID
,ADA,USDT,cardano,tether
,ETH,USDT,ethereum,tether
,BTC,USDT,bitcoin,tether
,XRP,USDT,ripple,tether
,DOGE,USDT,dogecoin,tether
,USDT,USD,tether,
,XTZ,USDT,tezos,tether
,USDC,USDT,usd-coin,tether
,FIL,USDT,filecoin,tether
,EOS,USDT,eos,tether
,LUNA,USDT,terra-luna,tether
,DOT,USDT,polkadot,tether
,HIVE,USDT,hive,tether
,LTC,USDT,litecoin,tether
,BCH,USDT,bitcoin-cash,tether
,BNB,USDT,binancecoin,tether
,ETC,USDT,ethereum-classic,tether
,UNI,USDT,uniswap,tether
,LINK,USDT,chainlink,tether
,SUSHI,USDT,sushi,tether
,MATIC,USDT,matic-network,tether
,ATOM,USDT,cosmos,tether
,SOL,USDT,solana,tether
,TRX,USDT,tron,tether
,AAVE,USDT,aave,tether
,1INCH,USDT,1inch,tether
,HT,USDT,huobi-token,tether
,ICP,USDT,internet-computer,tether
,ZEC,USDT,zcash,tether
,SHIB,USDT,shiba-inu,tether
,ONT,USDT,ontology,tether
,CRV,USDT,curve-dao-token,tether
,AXS,USDT,axie-infinity,tether
,DASH,USDT,dash,tether
,FTT,USDT,ftx-token,tether
,GRT,USDT,the-graph,tether
,QTUM,USDT,qtum,tether
,ACH,USDT,alchemy-pay,tether
,VET,USDT,vechain,tether
,ALGO,USDT,algorand,tether
,GOF,USDT,golff,tether
,SNX,USDT,havven,tether
,XLM,USDT,stellar,tether
,AVAX,USDT,avalanche-2,tether
,IOTX,USDT,iotex,tether
,BTT,USDT,bittorrent-2,tether
,DODO,USDT,dodo,tether
,CLV,USDT,clover-finance,tether
,BUSD,USDT,binance-usd,tether
,SRM,USDT,serum,tether
,OKB,USDT,okb,tether
,PAX,USDT,paxos-standard,tether
,ETH,BTC,ethereum,bitcoin
,ETH,USD,ethereum,
,CSPR,USDT,casper-network,tether
,NEO,USDT,neo,tether
,LTC,USD,litecoin,
,BCH,USD,bitcoin-cash,
,KSM,USDT,kusama,tether
,BSV,USDT,bitcoin-cash-sv,tether
,TUSD,USDT,true-usd,tether
,MINA,USDT,mina-protocol,tether
,WIN,USDT,wink,tether
,STORJ,USDT,storj,tether
,GT,USDT,gatechain-token,tether
,HMT,USDT,human-protocol,tether
,MATIC,USD,matic-network,
,LRC,USDT,loopring,tether
,CHZ,USDT,chiliz,tether
,YGG,USDT,yield-guild-games,tether
,BADGER,USDT,badger-dao,tether
,RENBTC,BTC,renbtc,bitcoin
,XMR,USDT,monero,tether
,SOL,USD,solana,
,THETA,USDT,theta-token,tether
,DAI,USDT,dai,tether
,YFI,USDT,yearn-finance,tether
,TRX,USD,tron,
,DOGE,BTC,dogecoin,bitcoin
,BAT,USDT,basic-attention-token,tether
,EOS,ETH,eos,ethereum
,SUSHI,USD,sushi,
,ANT,USDT,aragon,tether
,HBAR,USDT,hedera-hashgraph,tether
,AXS,USD,axie-infinity,
,OCEAN,USDT,ocean-protocol,tether
,XEM,USDT,nem,tether
,SUSD,USDT,nusd,tether
,MATIC,ETH,matic-network,ethereum
,C98,USDT,coin98,tether
,COMP,USD,compound-governance-token,
,ALICE,USDT,my-neighbor-alice,tether
,TCT,USDT,tokenclub,tether
,TLM,USDT,alien-worlds,tether
,SXP,USDT,swipe,tether
,FUN,USDT,funfair,tether
,MKR,USDT,maker,tether
,AAVE,USD,aave,
,XCH,USDT,chia,tether
,UNI,USD,uniswap,
